Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),Total Acceleration (m/s2),Total Acceleration (g)
0.1160524,0.742225,0.112531,9.768641,9.797444,4.394449,8.621123,10.623397,1.082915087
0.1180537,0.732648,0.122108,9.73991,9.768189,4.360849,9.462322,10.594666,1.07998634
0.1200551,0.737437,0.129291,9.737515,9.766255,4.396677,9.944294,10.604243,1.080962589
0.1220564,0.737437,0.136474,9.727939,9.756804,4.408422,10.484816,10.60185,1.080718654
0.1240577,0.720677,0.122108,9.696813,9.724323,4.310844,9.616591,10.539598,1.074372885
0.1260591,0.718282,0.107742,9.703996,9.731139,4.280433,8.530766,10.53002,1.073396534
0.1280604,0.730254,0.102954,9.696813,9.724816,4.349201,8.024876,10.530021,1.073396636
0.1300617,0.742225,0.0838,9.682447,9.711216,4.411309,6.4416,10.508472,1.0712
0.1320616,0.749408,0.079011,9.694419,9.723662,4.44475,6.018535,10.522838,1.072664424
0.1340628,0.732648,0.069434,9.70639,9.734249,4.335805,5.413823,10.508472,1.0712
0.1360642,0.720677,0.043097,9.715967,9.742754,4.249666,3.42225,10.479741,1.068271254
0.1380659,0.718282,0.03352,9.737515,9.764029,4.223316,2.671865,10.489317,1.069247401
0.1400672,0.708705,0.035914,9.77343,9.799157,4.15275,2.901021,10.518049,1.072176249
0.1420686,0.69434,0.019154,9.780613,9.805247,4.062257,1.580172,10.494107,1.069735678
0.1440699,0.689551,0.019154,9.785401,9.809686,4.032403,1.59114,10.494106,1.069735576
0.1460712,0.672791,0.028731,9.77343,9.796601,3.941487,2.445309,10.474952,1.067783078
0.1480726,0.672791,0.019154,9.749487,9.772693,3.94923,1.630756,10.441432,1.064366157
0.1500736,0.675186,0.014366,9.751882,9.775238,3.961558,1.218875,10.441434,1.064366361
0.1520749,0.665608,0.019154,9.759064,9.781755,3.903445,1.648344,10.443826,1.064610194
0.1540763,0.651243,0.014366,9.744699,9.766446,3.824335,1.263673,10.410308,1.061193476
0.1560821,0.634483,0.01676,9.711179,9.731898,3.739421,1.513122,10.362422,1.05631213
0.1580835,0.624906,0.043097,9.684841,9.705077,3.700629,3.945186,10.352844,1.05533578
0.1600848,0.617723,0.05028,9.675264,9.695094,3.665167,4.653351,10.343267,1.054359531
0.162091,0.617723,0.026337,9.646533,9.666327,3.66725,2.441365,10.290593,1.048990112
0.1640923,0.615329,0.028731,9.646533,9.666181,3.65377,2.673348,10.290593,1.048990112
0.1660937,0.612934,0.026337,9.651321,9.6708,3.637119,2.460415,10.290592,1.04899001
0.168096,0.61054,0.01676,9.675264,9.694523,3.612108,1.57243,10.302564,1.050210398
0.1700973,0.579414,0.002394,9.687236,9.704549,3.422968,0.236758,10.269044,1.046793476
0.1720987,0.557866,-0.002394,9.689631,9.705676,3.295031,359.754089,10.245103,1.044353007
0.174104,0.536318,0.002394,9.682447,9.697289,3.170397,0.255783,10.221159,1.041912232
0.1761053,0.517163,0.014366,9.672871,9.686696,3.061518,1.59114,10.2044,1.040203874
0.1781067,0.521952,0.021548,9.677659,9.691748,3.089778,2.364079,10.221159,1.041912232
0.1801102,0.505192,0.035914,9.692024,9.705248,2.99127,4.066319,10.23313,1.043132518
0.1821116,0.481249,0.05028,9.682447,9.69453,2.86095,5.964487,10.213976,1.04118002
0.1841129,0.478855,0.040703,9.689631,9.701541,2.839384,4.858463,10.209189,1.040692049
0.186114,0.481249,0.040703,9.687236,9.699268,2.854236,4.834406,10.209188,1.040691947
0.1881153,0.486038,0.055068,9.687236,9.699577,2.890628,6.464075,10.228342,1.042644444
0.1901166,0.498009,0.055068,9.677659,9.69062,2.963722,6.309957,10.230736,1.042888481
0.192118,0.529135,0.064645,9.684841,9.699501,3.150513,6.965418,10.278621,1.047769725
0.1941194,0.548289,0.069434,9.682447,9.698208,3.266866,7.21738,10.30017,1.049966361
0.1961207,0.569837,0.071828,9.694419,9.711417,3.390498,7.184268,10.336084,1.053627319
0.1981221,0.565049,0.06704,9.694419,9.711103,3.359113,6.766175,10.326508,1.052651172
0.2001234,0.567443,0.081405,9.684841,9.701792,3.387436,8.163945,10.333689,1.05338318
0.2021247,0.567443,0.10056,9.670476,9.687632,3.410304,10.049349,10.338479,1.053871458
0.2041261,0.581809,0.105348,9.660899,9.678976,3.502299,10.263343,10.348056,1.054847706
0.2061274,0.603357,0.098165,9.658504,9.67783,3.621474,9.240961,10.360026,1.05606789
0.2081288,0.658426,0.0838,9.660899,9.683673,3.930243,7.253194,10.403125,1.060461264
0.2101309,0.718282,0.06704,9.672871,9.699735,4.265261,5.332159,10.458193,1.06607472
0.2121323,0.742225,0.059857,9.680053,9.708651,4.398771,4.610649,10.482135,1.068515291
0.2141336,0.778139,0.055068,9.708784,9.740073,4.59376,4.048029,10.541991,1.07461682
0.2161304,0.802082,0.05028,9.72315,9.756307,4.725012,3.586982,10.575512,1.078033843
0.2181318,0.804476,0.059857,9.737515,9.770874,4.735862,4.255238,10.601848,1.080718451
0.2201331,0.780534,0.06704,9.761458,9.792844,4.588426,4.909062,10.609032,1.081450765
0.222132,0.766168,0.071828,9.766247,9.796517,4.505283,5.355825,10.604243,1.080962589
0.2241334,0.761379,0.069434,9.77343,9.803288,4.472908,5.210674,10.604243,1.080962589
0.2261347,0.725465,0.062251,9.771035,9.798127,4.261724,4.904456,10.558751,1.07632528
0.2281356,0.72786,0.05028,9.77343,9.800625,4.2693,3.951654,10.55157,1.075593272
0.230137,0.732648,0.045491,9.754275,9.781857,4.303705,3.55302,10.532414,1.073640571
0.2321384,0.735042,0.038308,9.742304,9.770068,4.32051,2.9834,10.515654,1.07193211
0.2341383,0.725465,0.03352,9.727939,9.75501,4.269484,2.645449,10.486924,1.069003466
0.2361396,0.701523,0.019154,9.708784,9.734115,4.134317,1.564001,10.429461,1.063145872
0.238141,0.706311,-0.002394,9.689631,9.71534,4.169177,359.805786,10.393548,1.059485015
0.2401419,0.706311,0.002394,9.682447,9.708175,4.172182,0.194222,10.391152,1.059240775
0.2421433,0.720677,0.011971,9.672871,9.699688,4.26154,0.95167,10.405519,1.060705301
0.2441446,0.715888,-0.004789,9.641745,9.668286,4.246439,359.61676,10.352844,1.05533578
0.2461463,0.718282,-0.01676,9.617802,9.644601,4.272235,358.66333,10.319324,1.051918858
0.2481476,0.706311,-0.043097,9.603436,9.629472,4.214217,356.508301,10.26665,1.046549439
0.250149,0.679974,-0.052674,9.615408,9.639565,4.057096,355.570435,10.242708,1.044108869
0.2521517,0.668003,-0.079011,9.608225,9.631742,4.004724,353.254425,10.197217,1.039471662
0.254153,0.668003,-0.10056,9.60583,9.629554,4.022679,351.439117,10.173273,1.037030887
0.2561544,0.687157,-0.129291,9.617802,9.643185,4.158076,349.344177,10.175668,1.037275025
0.2581554,0.684763,-0.136474,9.624985,9.650278,4.149212,348.728607,10.173274,1.037030989
0.2601568,0.639271,-0.146051,9.620196,9.642519,3.89943,347.130829,10.113416,1.030929256
0.2621581,0.612934,-0.134079,9.593859,9.614353,3.741725,347.660919,10.072714,1.026780224
0.2641594,0.600963,-0.131685,9.586677,9.606397,3.671839,347.640503,10.055955,1.025071865
0.2661608,0.553077,-0.110137,9.567522,9.584127,3.373246,348.737762,10.010462,1.020434455
0.2681621,0.541106,-0.110137,9.550762,9.566712,3.309023,348.495178,9.981731,1.017505708
0.2701629,0.507586,-0.110137,9.517242,9.531404,3.123742,347.75766,9.914691,1.010671865
0.2721643,0.524346,-0.102954,9.507666,9.52267,3.216802,348.891449,9.929058,1.012136391
0.2741656,0.521952,-0.10056,9.500483,9.515341,3.202346,349.094971,9.921875,1.011404179
0.2761672,0.541106,-0.122108,9.488511,9.504712,3.345797,347.283417,9.907509,1.009939755
0.2781686,0.581809,-0.119714,9.490906,9.509476,3.581241,348.373016,9.953001,1.014577064
0.2801699,0.586597,-0.122108,9.500483,9.519358,3.608691,348.241058,9.964972,1.01579735
0.2821693,0.603357,-0.112531,9.534002,9.553738,3.683392,349.435272,10.024828,1.021898879
0.2841705,0.615329,-0.10056,9.598648,9.618876,3.716468,350.718536,10.113417,1.030929358
0.2861719,0.615329,-0.086194,9.641745,9.661744,3.687165,352.026031,10.17088,1.036786952
0.288173,0.605752,-0.05028,9.713573,9.732572,3.58064,355.255096,10.269045,1.046793578
0.2901743,0.598569,-0.057463,9.797373,9.815809,3.512236,354.516418,10.338479,1.053871458
0.2921757,0.596174,-0.057463,9.830893,9.84912,3.48633,354.494507,10.369604,1.057044241
0.2941741,0.596174,-0.05028,9.914692,9.932727,3.453264,355.17923,10.460586,1.066318654
0.2961755,0.584203,-0.026337,9.998491,10.015578,3.347318,357.418732,10.556357,1.076081244
0.2981768,0.584203,-0.011971,10.041589,10.058576,3.330313,358.82608,10.613821,1.08193894
0.3001808,0.600963,-0.002394,10.108628,10.126476,3.402257,359.771729,10.707197,1.09145739
0.3021821,0.61054,-0.028731,10.139753,10.158158,3.449577,357.305725,10.721562,1.092921713
0.3041834,0.61054,-0.021548,10.149331,10.167701,3.444635,357.978638,10.738323,1.094630275
0.3061864,0.632089,-0.019154,10.166091,10.18574,3.55947,358.264282,10.779026,1.098779409
0.3081878,0.663214,-0.03352,10.175668,10.197313,3.733867,357.106659,10.805362,1.101464016
0.3101891,0.730254,-0.040703,10.158908,10.185202,4.117847,356.809753,10.848459,1.105857187
0.3121888,0.766168,-0.03352,10.1206,10.149614,4.333365,357.494904,10.853248,1.106345362
0.3141901,0.773351,-0.01676,10.101445,10.131019,4.378911,358.758484,10.858036,1.106833435
0.3161914,0.761379,0.007183,10.0368,10.06564,4.338289,0.54051,10.805362,1.101464016
0.3181931,0.723071,0.026337,9.964972,9.991205,4.152939,2.08601,10.71438,1.092189602
